Entry	Entry name	Protein names	Status	Gene names  (primary )
G3M6Y8	G3M6Y8_CERNT	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
W8S1U0	W8S1U0_PYGBL	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
A0A165QN46	A0A165QN46_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
W5Q0I4	W5Q0I4_SHEEP	Brain derived neurotrophic factor	unreviewed	BDNF
Q9BFJ1	Q9BFJ1_NOMCO	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
H0XGR4	H0XGR4_OTOGA	Brain derived neurotrophic factor	unreviewed	BDNF
A0A165QMZ1	A0A165QMZ1_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
V6BQ61	V6BQ61_9EUTH	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
Q2VDH7	Q2VDH7_VULCO	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q9BFK3	Q9BFK3_PROCA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
B1ACE8	B1ACE8_EUBJA	BDNF (Fragment)	unreviewed	BDNF
B3FFN0	B3FFN0_MUSPU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
W8S1V1	W8S1V1_NOCLE	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
D7PR83	D7PR83_9CARN	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1B4Z9J3	A0A1B4Z9J3_NOTCR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A0C5PYC1	A0A0C5PYC1_9CHIR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q2VDH4	Q2VDH4_VULVU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
B3FFM8	B3FFM8_MUSNI	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
Q9BFH3	Q9BFH3_PANON	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
H9MH69	H9MH69_PROCA	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A1J0N2K9	A0A1J0N2K9_CONCR	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
A0A075TKX3	A0A075TKX3_UROMA	Brain-derived neurotrophic factor (Fragment)	unreviewed	bdnf
G3M6W9	G3M6W9_CERNU	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
G3M6W8	G3M6W8_ACRPY	Brain-derived neurotrophic factor (Fragment)	unreviewed	BDNF
