c1.diseaseId	c1.name	c2.type	c2.diseaseClassName	c0.Ngenes	c0.diseaseId2	c0.source
C0030567	Parkinson Disease	disease	null	1	C0344539	ALL
C0030567	Parkinson Disease	disease	null	1	C0344559	ALL
C0030567	Parkinson Disease	disease	null	1	C0344622	ALL
C0030567	Parkinson Disease	disease	null	1	C0344882	ALL
C0030567	Parkinson Disease	disease	null	1	C0344893	ALL
C0030567	Parkinson Disease	disease	null	1	C0344925	ALL
C0030567	Parkinson Disease	disease	null	1	C0344955	ALL
C0030567	Parkinson Disease	disease	null	1	C0344975	ALL
C0030567	Parkinson Disease	disease	null	1	C0345049	ALL
C0030567	Parkinson Disease	disease	null	1	C0345050	ALL
C0030567	Parkinson Disease	disease	null	1	C0345237	ALL
C0030567	Parkinson Disease	disease	null	1	C0345240	ALL
C0030567	Parkinson Disease	disease	null	1	C0345244	ALL
C0030567	Parkinson Disease	disease	null	1	C0345326	ALL
C0030567	Parkinson Disease	disease	null	1	C0345375	ALL
C0030567	Parkinson Disease	disease	null	1	C0345407	ALL
C0030567	Parkinson Disease	disease	null	1	C0345602	ALL
C0030567	Parkinson Disease	disease	null	1	C0345984	ALL
C0030567	Parkinson Disease	disease	null	1	C0345992	ALL
C0030567	Parkinson Disease	disease	null	1	C0346037	ALL
C0030567	Parkinson Disease	disease	null	1	C0346057	ALL
C0030567	Parkinson Disease	disease	null	1	C0346117	ALL
C0030567	Parkinson Disease	disease	null	1	C0346169	ALL
C0030567	Parkinson Disease	disease	null	1	C0346249	ALL
C0030567	Parkinson Disease	disease	null	1	C0346306	ALL
C0030567	Parkinson Disease	disease	null	1	C0346342	ALL
C0030567	Parkinson Disease	disease	null	1	C0346363	ALL
C0030567	Parkinson Disease	disease	null	1	C0346373	ALL
C0030567	Parkinson Disease	disease	null	1	C0346903	ALL
C0030567	Parkinson Disease	disease	null	1	C0346977	ALL
C0030567	Parkinson Disease	disease	null	1	C0347493	ALL
C0030567	Parkinson Disease	disease	null	1	C0348148	ALL
C0030567	Parkinson Disease	disease	null	1	C0348890	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0348951	ALL
C0030567	Parkinson Disease	disease	null	1	C0349251	ALL
C0030567	Parkinson Disease	disease	null	1	C0349398	ALL
C0030567	Parkinson Disease	disease	null	1	C0349453	ALL
C0030567	Parkinson Disease	disease	null	1	C0349554	ALL
C0030567	Parkinson Disease	disease	null	1	C0349557	ALL
C0030567	Parkinson Disease	disease	null	1	C0349571	ALL
C0030567	Parkinson Disease	disease	Female Urogenital Diseases and Pregnancy Complications	1	C0349578	ALL
C0030567	Parkinson Disease	disease	Neoplasms ; Nervous System Diseases	1	C0349604	ALL
C0030567	Parkinson Disease	disease	null	1	C0349622	ALL
C0030567	Parkinson Disease	disease	null	1	C0349633	ALL
C0030567	Parkinson Disease	disease	null	1	C0349667	ALL
C0030567	Parkinson Disease	phenotype	Eye Diseases ; Nervous System Diseases ; Wounds and Injuries	1	C0349702	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0349705	ALL
C0030567	Parkinson Disease	disease	null	1	C0349780	ALL
C0030567	Parkinson Disease	group	Virus Diseases	1	C0376549	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0391970	ALL
C0030567	Parkinson Disease	disease	null	1	C0392006	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0392106	ALL
C0030567	Parkinson Disease	disease	null	1	C0392163	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0392171	ALL
C0030567	Parkinson Disease	disease	null	1	C0392318	ALL
C0030567	Parkinson Disease	disease	null	1	C0392400	ALL
C0030567	Parkinson Disease	disease	Nutritional and Metabolic Diseases ; Skin and Connective Tissue Diseases	1	C0392445	ALL
C0030567	Parkinson Disease	disease	null	1	C0392475	ALL
C0030567	Parkinson Disease	disease	null	1	C0392663	ALL
C0030567	Parkinson Disease	disease	null	1	C0392775	ALL
C0030567	Parkinson Disease	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities ; Nervous System Diseases	1	C0393519	ALL
C0030567	Parkinson Disease	disease	Nervous System Diseases	1	C0393541	ALL
C0030567	Parkinson Disease	disease	null	1	C0393556	ALL
C0030567	Parkinson Disease	disease	null	1	C0393559	ALL
C0030567	Parkinson Disease	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities ; Mental Disorders ; Nervous System Diseases	1	C0393574	ALL
C0030567	Parkinson Disease	disease	Nervous System Diseases	1	C0393598	ALL
C0030567	Parkinson Disease	disease	null	1	C0393602	ALL
C0030567	Parkinson Disease	disease	Nervous System Diseases	1	C0393615	ALL
C0030567	Parkinson Disease	disease	Eye Diseases ; Neoplasms ; Nervous System Diseases	1	C0393626	ALL
C0030567	Parkinson Disease	disease	Nervous System Diseases	1	C0393702	ALL
C0030567	Parkinson Disease	disease	null	1	C0393719	ALL
C0030567	Parkinson Disease	disease	Nervous System Diseases	1	C0393739	ALL
C0030567	Parkinson Disease	phenotype	null	1	C0393756	ALL
C0030567	Parkinson Disease	disease	null	1	C0393847	ALL
C0030567	Parkinson Disease	disease	null	1	C0393929	ALL
C0030567	Parkinson Disease	disease	null	1	C0393933	ALL
C0030567	Parkinson Disease	disease	null	1	C0393971	ALL
C0030567	Parkinson Disease	disease	Behavior and Behavior Mechanisms ; Pathological Conditions, Signs and Symptoms	1	C0395005	ALL
C0030567	Parkinson Disease	disease	Otorhinolaryngologic Diseases	1	C0395887	ALL
